"S.No","Product Name","Collection","Image File","Price (INR)","MOQ","Notes"
"1","Pearl Beaded Jewellery Box with Mirror","Organisers","v2/p3-2.jpg","","",""
"2","Pearl Beaded Ring/Earring Box","Organisers","v2/p3-3.jpg","","",""
"3","Pearl Beaded Round Watch/Accessory Box","Organisers","v2/p3-4.jpg","","",""
"4","Pearl Beaded Vanity Tray","Organisers","v2/p3-5.jpg","","",""
"5","Pearl Beaded Square Organiser","Organisers","v2/p4-2.jpg","","",""
"6","Pearl Beaded Round Organiser","Organisers","v2/p4-3.jpg","","",""
"7","Black Beaded Ashtray","Organisers","v2/p4-4.jpg","","",""
"8","Pearl Beaded Catch-All Tray","Organisers","v2/p4-5.jpg","","",""
"9","Beaded Desk Organiser Baskets","Organisers","v2/p5-2.jpg","","",""
"10","Pink Crystal Beaded Vanity Set","Organisers","v2/p5-3.jpg","","",""
"11","Pearl Beaded Baguette Bag","Purses","v2/p6-2.jpg","","",""
"12","Ivory Beaded Backpack","Purses","v2/p6-3.jpg","","",""
"13","Pearl Beaded Mini Tote Bag","Purses","v2/p6-4.jpg","","",""
"14","Pearl Beaded Envelope Clutch","Purses","v2/p6-5.jpg","","",""
"15","Pearl Beaded Mega Tote Bag","Purses","v2/p7-2.jpg","","",""
"16","Pearl Drop Bag","Purses","v2/p7-3.jpg","","",""
"17","Pearl Beaded Vintage Bag","Purses","v2/p7-4.jpg","","",""
"18","Pearl Beaded Mini Pouch with Flower Charm","Purses","v2/p7-5.jpg","","",""
"19","Pearl Beaded Clutch, Gold Dot Detail","Purses","v2/p8-2.jpg","","",""
"20","Pearl Beaded Hobo Bag","Purses","v2/p8-3.jpg","","",""
"21","Pearl Beaded Slice Bag","Purses","v2/p8-4.jpg","","",""
"22","Pearl Beaded Canteen Bag","Purses","v2/p8-5.jpg","","",""
"23","Pearl Beaded Cutout-Handle Bag","Purses","v2/p9-2.jpg","","",""
"24","Mint Green Beaded Tote Bag","Purses","v2/p9-3.jpg","","",""
"25","Orange Beaded Woven Handbag","Purses","v2/p9-4.jpg","","",""
"26","Yellow Beaded Woven Handbag","Purses","v2/p9-5.jpg","","",""
"27","Beaded Sling Bag Collection","Slings","v2/p10-2.jpg","","",""
"28","Sunset Ombre Beaded Sling Bag","Slings","v2/p10-3.jpg","","",""
"29","Pastel Beaded Sling Bag","Slings","v2/p10-4.jpg","","",""
"30","Pearl Beaded Textured Sling Bag","Slings","v2/p10-5.jpg","","",""
"31","Pearl Beaded Phone Sling Bag","Slings","v2/p11-2.jpg","","",""
"32","Pearl Beaded AirPods Case","Airpod Cases","v2/p12-2.jpg","","",""
"33","Yellow Beaded AirPods Case","Airpod Cases","v2/p12-3.jpg","","",""
"34","Pastel Beaded AirPods Case","Airpod Cases","v2/p12-4.jpg","","",""
"35","Crystal Beaded AirPods Case","Airpod Cases","v2/p12-5.jpg","","",""
"36","Beaded Nike Theme Mat","Mats","v2/p13-2.jpg","","",""
"37","Beaded Coaster Set, Grey & Blue","Mats","v2/p13-3.jpg","","",""
"38","Pink & Grey Beaded Round Mat","Mats","v2/p13-4.jpg","","",""
"39","Grey Beaded Table Runner","Mats","v2/p13-5.jpg","","",""
"40","Beaded Coaster Set, Blue & White","Mats","v2/p14-2.jpg","","",""
"41","Pearl Beaded Square Mat","Mats","v2/p14-3.jpg","","",""
"42","Pearl Beaded Accent Mat","Mats","v2/p14-4.jpg","","",""
"43","Pearl Beaded Round Coaster Set","Mats","v2/p14-5.jpg","","",""
"44","Pearl Beaded Mat With Colour Accents","Mats","v2/p15-2.jpg","","",""
"45","Pearl Beaded Tealight Holder Set","Candle Holders","v2/p16-2.jpg","","",""
"46","Lilac Beaded Tealight Holder Set","Candle Holders","v2/p16-3.jpg","","",""
"47","Pearl Beaded Keyring Collection","Key Rings","v2/p17-2.jpg","","",""
"48","Pastel Alphabet Keyring Set (A-Z)","Key Rings","v2/p17-3.jpg","","",""
"49","Pearl Beaded Music Note Keyring","Key Rings","v2/p17-4.jpg","","",""
"50","Pearl Beaded Heart Keyring","Key Rings","v2/p17-5.jpg","","",""
"51","Beaded Initial Keyring","Key Rings","v2/p18-2.jpg","","",""
"52","Crystal Beaded Heart Charm Collection","Key Rings","v2/p18-3.jpg","","",""
"53","Rainbow Beaded Heart Charm Set","Key Rings","v2/p18-4.jpg","","",""
"54","Crochet Flower Bookmark/Bag Charm","Crochet Magic","v2/x19-2.jpg","","",""
"55","Crochet Charms & Motifs Collection","Crochet Magic","v2/p19-2.jpg","","",""
"56","Crochet Chicken Bookmarks","Crochet Magic","v2/p19-3.jpg","","",""
"57","Crochet Heart Keyring","Crochet Magic","v2/p20-2.jpg","","",""
"58","Crochet Flower Bookmarks","Crochet Magic","v2/p20-3.jpg","","",""
"59","Crystal Bling Bottle","Special Pieces","v2/p21-2.jpg","","",""
"60","Mini Pearl Coin Bag","Special Pieces","v2/p21-3.jpg","","",""
"61","Custom Beaded Name Plaque","Special Pieces","v2/p21-4.jpg","","",""
